time "0 (ground state)" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
72.0 0.892731399433765 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
73.0 0.9094458212076022 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
74.0 0.92423002520755 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
75.0 0.9348832850272775 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
76.0 0.9382430793111413 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
77.0 0.9332961054372066 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
78.0 0.919283641782515 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
79.0 0.8978610863646314 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
80.0 0.8708675586919917 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
81.0 0.8405834100654064 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
82.0 0.8094477709969337 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
83.0 0.7779724543412189 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
84.0 0.7481751158163614 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
85.0 0.7223077417246052 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
86.0 0.7025053155081714 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
87.0 0.6902749777856282 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
88.0 0.684840064578071 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
89.0 0.6837408673501457 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
90.0 0.6834311762698796 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
91.0 0.6760984684474719 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
92.0 0.6671769006770427 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
93.0 0.6565620070333753 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
94.0 0.6438429689874987 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
95.0 0.6291877540325974 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
